internal_id,category_name,proposal_id,proposal_title,proposal_summary,proposal_problem,proposal_solution,proposal_url,proposal_files_url,proposal_public_key,proposal_funds,proposal_impact_score,proposer_name,proposer_email,proposer_url,proposer_relevant_experience,chain_vote_options,chain_vote_type
11,Fund2 challenge,16444256,Test proposal 16444256,To test the proposal process 16444256,We haven't tested proposal integration yet 16444256,Test the proposal integration process 16444256,https://iohk.submittable.com/submissions/16444256,https://iohk.submittable.com/submissions/16444256/file/0,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000256,0.5,IOHK 16444256,iohk_16444256@iohk.io,https://iohk.io,IOHK 16444256 - relevant experience,"blank,yes,no",public
12,Fund2 challenge,16444257,Test proposal 16444257,To test the proposal process 16444257,We haven't tested proposal integration yet 16444257,Test the proposal integration process 16444257,https://iohk.submittable.com/submissions/16444257,https://iohk.submittable.com/submissions/16444257/file/0,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000257,1.5,IOHK 16444257,iohk_16444257@iohk.io,https://iohk.io,IOHK 16444257 - relevant experience,"blank,yes,no",public
13,Fund2 challenge,16444258,Test proposal 16444258,To test the proposal process 16444258,We haven't tested proposal integration yet 16444258,Test the proposal integration process 16444258,https://iohk.submittable.com/submissions/16444258,https://iohk.submittable.com/submissions/16444258/file/0,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000258,2.5,IOHK 16444258,iohk_16444258@iohk.io,https://iohk.io,IOHK 16444258 - relevant experience,"blank,yes,no",public
14,Fund2 challenge,16444259,Test proposal 16444259,To test the proposal process 16444259,We haven't tested proposal integration yet 16444259,Test the proposal integration process 16444259,https://iohk.submittable.com/submissions/16444259,https://iohk.submittable.com/submissions/16444259/file/0,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000259,3.5,IOHK 16444259,iohk_16444259@iohk.io,https://iohk.io,IOHK 16444259 - relevant experience,"blank,yes,no",public
15,Fund2 challenge,16444260,Test proposal 16444260,To test the proposal process 16444260,We haven't tested proposal integration yet 16444260,Test the proposal integration process 16444260,https://iohk.submittable.com/submissions/16444260,https://iohk.submittable.com/submissions/16444260/file/0,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000260,4.5,IOHK 16444260,iohk_16444260@iohk.io,https://iohk.io,IOHK 16444260 - relevant experience,"blank,yes,no",public
16,Fund2 challenge,16444261,Test proposal 16444261,To test the proposal process 16444261,We haven't tested proposal integration yet 16444261,Test the proposal integration process 16444261,https://iohk.submittable.com/submissions/16444261,https://iohk.submittable.com/submissions/16444261/file/0,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000261,0.5,IOHK 16444261,iohk_16444261@iohk.io,https://iohk.io,IOHK 16444261 - relevant experience,"blank,yes,no",public
17,Fund2 challenge,16444262,Test proposal 16444262,To test the proposal process 16444262,We haven't tested proposal integration yet 16444262,Test the proposal integration process 16444262,https://iohk.submittable.com/submissions/16444262,https://iohk.submittable.com/submissions/16444262/file/0,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000262,1.5,IOHK 16444262,iohk_16444262@iohk.io,https://iohk.io,IOHK 16444262 - relevant experience,"blank,yes,no",public
18,Fund2 challenge,16444263,Test proposal 16444263,To test the proposal process 16444263,We haven't tested proposal integration yet 16444263,Test the proposal integration process 16444263,https://iohk.submittable.com/submissions/16444263,https://iohk.submittable.com/submissions/16444263/file/0,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000263,2.5,IOHK 16444263,iohk_16444263@iohk.io,https://iohk.io,IOHK 16444263 - relevant experience,"blank,yes,no",public
19,Fund2 challenge,16444264,Test proposal 16444264,To test the proposal process 16444264,We haven't tested proposal integration yet 16444264,Test the proposal integration process 16444264,https://iohk.submittable.com/submissions/16444264,https://iohk.submittable.com/submissions/16444264/file/0,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000264,3.5,IOHK 16444264,iohk_16444264@iohk.io,https://iohk.io,IOHK 16444264 - relevant experience,"blank,yes,no",public
20,Fund2 challenge,16444265,Test proposal 16444265,To test the proposal process 16444265,We haven't tested proposal integration yet 16444265,Test the proposal integration process 16444265,https://iohk.submittable.com/submissions/16444265,https://iohk.submittable.com/submissions/16444265/file/0,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000265,4.5,IOHK 16444265,iohk_16444265@iohk.io,https://iohk.io,IOHK 16444265 - relevant experience,"blank,yes,no",public
21,Fund2 challenge,16444266,Test proposal 16444266,To test the proposal process 16444266,We haven't tested proposal integration yet 16444266,Test the proposal integration process 16444266,https://iohk.submittable.com/submissions/16444266,https://iohk.submittable.com/submissions/16444265/file/1,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000266,1.5,IOHK 16444266,iohk_16444265@iohk.io,https://iohk.io,IOHK 16444266 - relevant experience,"blank,yes,no",public
22,Fund2 challenge,16444267,Test proposal 16444267,To test the proposal process 16444267,We haven't tested proposal integration yet 16444267,Test the proposal integration process 16444267,https://iohk.submittable.com/submissions/16444267,https://iohk.submittable.com/submissions/16444265/file/2,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000267,2.5,IOHK 16444267,iohk_16444265@iohk.io,https://iohk.io,IOHK 16444267 - relevant experience,"blank,yes,no",public
23,Fund2 challenge,16444268,Test proposal 16444268,To test the proposal process 16444268,We haven't tested proposal integration yet 16444268,Test the proposal integration process 16444268,https://iohk.submittable.com/submissions/16444268,https://iohk.submittable.com/submissions/16444265/file/3,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000268,3.5,IOHK 16444268,iohk_16444265@iohk.io,https://iohk.io,IOHK 16444268 - relevant experience,"blank,yes,no",public
24,Fund2 challenge,16444269,Test proposal 16444269,To test the proposal process 16444269,We haven't tested proposal integration yet 16444269,Test the proposal integration process 16444269,https://iohk.submittable.com/submissions/16444269,https://iohk.submittable.com/submissions/16444265/file/4,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000269,4.5,IOHK 16444269,iohk_16444265@iohk.io,https://iohk.io,IOHK 16444269 - relevant experience,"blank,yes,no",public
25,Fund2 challenge,16444270,Test proposal 16444270,To test the proposal process 16444270,We haven't tested proposal integration yet 16444270,Test the proposal integration process 16444270,https://iohk.submittable.com/submissions/16444270,https://iohk.submittable.com/submissions/16444265/file/5,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000270,0.5,IOHK 16444270,iohk_16444265@iohk.io,https://iohk.io,IOHK 16444270 - relevant experience,"blank,yes,no",public
26,Fund2 challenge,16444271,Test proposal 16444271,To test the proposal process 16444271,We haven't tested proposal integration yet 16444271,Test the proposal integration process 16444271,https://iohk.submittable.com/submissions/16444271,https://iohk.submittable.com/submissions/16444265/file/6,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000271,1.5,IOHK 16444271,iohk_16444265@iohk.io,https://iohk.io,IOHK 16444271 - relevant experience,"blank,yes,no",public
27,Fund2 challenge,16444272,Test proposal 16444272,To test the proposal process 16444272,We haven't tested proposal integration yet 16444272,Test the proposal integration process 16444272,https://iohk.submittable.com/submissions/16444272,https://iohk.submittable.com/submissions/16444265/file/7,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000272,2.5,IOHK 16444272,iohk_16444265@iohk.io,https://iohk.io,IOHK 16444272 - relevant experience,"blank,yes,no",public
28,Fund2 challenge,16444273,Test proposal 16444273,To test the proposal process 16444273,We haven't tested proposal integration yet 16444273,Test the proposal integration process 16444273,https://iohk.submittable.com/submissions/16444273,https://iohk.submittable.com/submissions/16444265/file/8,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000273,3.5,IOHK 16444273,iohk_16444265@iohk.io,https://iohk.io,IOHK 16444273 - relevant experience,"blank,yes,no",public
29,Fund2 challenge,16444274,Test proposal 16444274,To test the proposal process 16444274,We haven't tested proposal integration yet 16444274,Test the proposal integration process 16444274,https://iohk.submittable.com/submissions/16444274,https://iohk.submittable.com/submissions/16444265/file/9,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000274,4.5,IOHK 16444274,iohk_16444265@iohk.io,https://iohk.io,IOHK 16444274 - relevant experience,"blank,yes,no",public
30,Fund2 challenge,16444275,Test proposal 16444275,To test the proposal process 16444275,We haven't tested proposal integration yet 16444275,Test the proposal integration process 16444275,https://iohk.submittable.com/submissions/16444275,https://iohk.submittable.com/submissions/16444265/file/10,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000275,0.5,IOHK 16444275,iohk_16444265@iohk.io,https://iohk.io,IOHK 16444275 - relevant experience,"blank,yes,no",public
31,Fund2 challenge,16444276,Test proposal 16444276,To test the proposal process 16444276,We haven't tested proposal integration yet 16444276,Test the proposal integration process 16444276,https://iohk.submittable.com/submissions/16444276,https://iohk.submittable.com/submissions/16444265/file/11,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000276,1.5,IOHK 16444276,iohk_16444265@iohk.io,https://iohk.io,IOHK 16444276 - relevant experience,"blank,yes,no",public
32,Fund2 challenge,16444277,Test proposal 16444277,To test the proposal process 16444277,We haven't tested proposal integration yet 16444277,Test the proposal integration process 16444277,https://iohk.submittable.com/submissions/16444277,https://iohk.submittable.com/submissions/16444265/file/12,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000277,2.5,IOHK 16444277,iohk_16444265@iohk.io,https://iohk.io,IOHK 16444277 - relevant experience,"blank,yes,no",public
33,Fund2 challenge,16444278,Test proposal 16444278,To test the proposal process 16444278,We haven't tested proposal integration yet 16444278,Test the proposal integration process 16444278,https://iohk.submittable.com/submissions/16444278,https://iohk.submittable.com/submissions/16444265/file/13,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000278,3.5,IOHK 16444278,iohk_16444265@iohk.io,https://iohk.io,IOHK 16444278 - relevant experience,"blank,yes,no",public
34,Fund2 challenge,16444279,Test proposal 16444279,To test the proposal process 16444279,We haven't tested proposal integration yet 16444279,Test the proposal integration process 16444279,https://iohk.submittable.com/submissions/16444279,https://iohk.submittable.com/submissions/16444265/file/14,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000279,4.5,IOHK 16444279,iohk_16444265@iohk.io,https://iohk.io,IOHK 16444279 - relevant experience,"blank,yes,no",public
35,Fund2 challenge,16444280,Test proposal 16444280,To test the proposal process 16444280,We haven't tested proposal integration yet 16444280,Test the proposal integration process 16444280,https://iohk.submittable.com/submissions/16444280,https://iohk.submittable.com/submissions/16444265/file/15,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000280,0.5,IOHK 16444280,iohk_16444265@iohk.io,https://iohk.io,IOHK 16444280 - relevant experience,"blank,yes,no",public
36,Fund2 challenge,16444281,Test proposal 16444281,To test the proposal process 16444281,We haven't tested proposal integration yet 16444281,Test the proposal integration process 16444281,https://iohk.submittable.com/submissions/16444281,https://iohk.submittable.com/submissions/16444265/file/16,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000281,1.5,IOHK 16444281,iohk_16444265@iohk.io,https://iohk.io,IOHK 16444281 - relevant experience,"blank,yes,no",public
37,Fund2 challenge,16444282,Test proposal 16444282,To test the proposal process 16444282,We haven't tested proposal integration yet 16444282,Test the proposal integration process 16444282,https://iohk.submittable.com/submissions/16444282,https://iohk.submittable.com/submissions/16444265/file/17,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000282,2.5,IOHK 16444282,iohk_16444265@iohk.io,https://iohk.io,IOHK 16444282 - relevant experience,"blank,yes,no",public
38,Fund2 challenge,16444283,Test proposal 16444283,To test the proposal process 16444283,We haven't tested proposal integration yet 16444283,Test the proposal integration process 16444283,https://iohk.submittable.com/submissions/16444283,https://iohk.submittable.com/submissions/16444265/file/18,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000283,3.5,IOHK 16444283,iohk_16444265@iohk.io,https://iohk.io,IOHK 16444283 - relevant experience,"blank,yes,no",public
39,Fund2 challenge,16444284,Test proposal 16444284,To test the proposal process 16444284,We haven't tested proposal integration yet 16444284,Test the proposal integration process 16444284,https://iohk.submittable.com/submissions/16444284,https://iohk.submittable.com/submissions/16444265/file/19,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000284,4.5,IOHK 16444284,iohk_16444265@iohk.io,https://iohk.io,IOHK 16444284 - relevant experience,"blank,yes,no",public
40,Fund2 challenge,16444285,Test proposal 16444285,To test the proposal process 16444285,We haven't tested proposal integration yet 16444285,Test the proposal integration process 16444285,https://iohk.submittable.com/submissions/16444285,https://iohk.submittable.com/submissions/16444265/file/20,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000285,1.5,IOHK 16444285,iohk_16444265@iohk.io,https://iohk.io,IOHK 16444285 - relevant experience,"blank,yes,no",public
41,Fund2 challenge,16444286,Test proposal 16444286,To test the proposal process 16444286,We haven't tested proposal integration yet 16444286,Test the proposal integration process 16444286,https://iohk.submittable.com/submissions/16444286,https://iohk.submittable.com/submissions/16444265/file/21,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000286,2.5,IOHK 16444286,iohk_16444265@iohk.io,https://iohk.io,IOHK 16444286 - relevant experience,"blank,yes,no",public
42,Fund2 challenge,16444287,Test proposal 16444287,To test the proposal process 16444287,We haven't tested proposal integration yet 16444287,Test the proposal integration process 16444287,https://iohk.submittable.com/submissions/16444287,https://iohk.submittable.com/submissions/16444265/file/22,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000287,3.5,IOHK 16444287,iohk_16444265@iohk.io,https://iohk.io,IOHK 16444287 - relevant experience,"blank,yes,no",public
43,Fund2 challenge,16444288,Test proposal 16444288,To test the proposal process 16444288,We haven't tested proposal integration yet 16444288,Test the proposal integration process 16444288,https://iohk.submittable.com/submissions/16444288,https://iohk.submittable.com/submissions/16444265/file/23,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000288,4.5,IOHK 16444288,iohk_16444265@iohk.io,https://iohk.io,IOHK 16444288 - relevant experience,"blank,yes,no",public
44,Fund2 challenge,16444289,Test proposal 16444289,To test the proposal process 16444289,We haven't tested proposal integration yet 16444289,Test the proposal integration process 16444289,https://iohk.submittable.com/submissions/16444289,https://iohk.submittable.com/submissions/16444265/file/24,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000289,0.5,IOHK 16444289,iohk_16444265@iohk.io,https://iohk.io,IOHK 16444289 - relevant experience,"blank,yes,no",public
45,Fund2 challenge,16444290,Test proposal 16444290,To test the proposal process 16444290,We haven't tested proposal integration yet 16444290,Test the proposal integration process 16444290,https://iohk.submittable.com/submissions/16444290,https://iohk.submittable.com/submissions/16444265/file/25,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000290,1.5,IOHK 16444290,iohk_16444265@iohk.io,https://iohk.io,IOHK 16444290 - relevant experience,"blank,yes,no",public
46,Fund2 challenge,16444291,Test proposal 16444291,To test the proposal process 16444291,We haven't tested proposal integration yet 16444291,Test the proposal integration process 16444291,https://iohk.submittable.com/submissions/16444291,https://iohk.submittable.com/submissions/16444265/file/26,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000291,2.5,IOHK 16444291,iohk_16444265@iohk.io,https://iohk.io,IOHK 16444291 - relevant experience,"blank,yes,no",public
47,Fund2 challenge,16444292,Test proposal 16444292,To test the proposal process 16444292,We haven't tested proposal integration yet 16444292,Test the proposal integration process 16444292,https://iohk.submittable.com/submissions/16444292,https://iohk.submittable.com/submissions/16444265/file/27,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000292,3.5,IOHK 16444292,iohk_16444265@iohk.io,https://iohk.io,IOHK 16444292 - relevant experience,"blank,yes,no",public
48,Fund2 challenge,16444293,Test proposal 16444293,To test the proposal process 16444293,We haven't tested proposal integration yet 16444293,Test the proposal integration process 16444293,https://iohk.submittable.com/submissions/16444293,https://iohk.submittable.com/submissions/16444265/file/28,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000293,4.5,IOHK 16444293,iohk_16444265@iohk.io,https://iohk.io,IOHK 16444293 - relevant experience,"blank,yes,no",public
49,Fund2 challenge,16444294,Test proposal 16444294,To test the proposal process 16444294,We haven't tested proposal integration yet 16444294,Test the proposal integration process 16444294,https://iohk.submittable.com/submissions/16444294,https://iohk.submittable.com/submissions/16444265/file/29,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000294,0.5,IOHK 16444294,iohk_16444265@iohk.io,https://iohk.io,IOHK 16444294 - relevant experience,"blank,yes,no",public
50,Fund2 challenge,16444295,Test proposal 16444295,To test the proposal process 16444295,We haven't tested proposal integration yet 16444295,Test the proposal integration process 16444295,https://iohk.submittable.com/submissions/16444295,https://iohk.submittable.com/submissions/16444265/file/30,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000295,1.5,IOHK 16444295,iohk_16444265@iohk.io,https://iohk.io,IOHK 16444295 - relevant experience,"blank,yes,no",public
51,Fund2 challenge,16444296,Test proposal 16444296,To test the proposal process 16444296,We haven't tested proposal integration yet 16444296,Test the proposal integration process 16444296,https://iohk.submittable.com/submissions/16444296,https://iohk.submittable.com/submissions/16444265/file/31,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000296,2.5,IOHK 16444296,iohk_16444265@iohk.io,https://iohk.io,IOHK 16444296 - relevant experience,"blank,yes,no",public
52,Fund2 challenge,16444297,Test proposal 16444297,To test the proposal process 16444297,We haven't tested proposal integration yet 16444297,Test the proposal integration process 16444297,https://iohk.submittable.com/submissions/16444297,https://iohk.submittable.com/submissions/16444265/file/32,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000297,3.5,IOHK 16444297,iohk_16444265@iohk.io,https://iohk.io,IOHK 16444297 - relevant experience,"blank,yes,no",public
53,Fund2 challenge,16444298,Test proposal 16444298,To test the proposal process 16444298,We haven't tested proposal integration yet 16444298,Test the proposal integration process 16444298,https://iohk.submittable.com/submissions/16444298,https://iohk.submittable.com/submissions/16444265/file/33,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000298,4.5,IOHK 16444298,iohk_16444265@iohk.io,https://iohk.io,IOHK 16444298 - relevant experience,"blank,yes,no",public
54,Fund2 challenge,16444299,Test proposal 16444299,To test the proposal process 16444299,We haven't tested proposal integration yet 16444299,Test the proposal integration process 16444299,https://iohk.submittable.com/submissions/16444299,https://iohk.submittable.com/submissions/16444265/file/34,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000299,0.5,IOHK 16444299,iohk_16444265@iohk.io,https://iohk.io,IOHK 16444299 - relevant experience,"blank,yes,no",public
55,Fund2 challenge,16444300,Test proposal 16444300,To test the proposal process 16444300,We haven't tested proposal integration yet 16444300,Test the proposal integration process 16444300,https://iohk.submittable.com/submissions/16444300,https://iohk.submittable.com/submissions/16444265/file/35,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000300,1.5,IOHK 16444300,iohk_16444265@iohk.io,https://iohk.io,IOHK 16444300 - relevant experience,"blank,yes,no",public
56,Fund2 challenge,16444301,Test proposal 16444301,To test the proposal process 16444301,We haven't tested proposal integration yet 16444301,Test the proposal integration process 16444301,https://iohk.submittable.com/submissions/16444301,https://iohk.submittable.com/submissions/16444265/file/36,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000301,2.5,IOHK 16444301,iohk_16444265@iohk.io,https://iohk.io,IOHK 16444301 - relevant experience,"blank,yes,no",public
57,Fund2 challenge,16444302,Test proposal 16444302,To test the proposal process 16444302,We haven't tested proposal integration yet 16444302,Test the proposal integration process 16444302,https://iohk.submittable.com/submissions/16444302,https://iohk.submittable.com/submissions/16444265/file/37,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000302,3.5,IOHK 16444302,iohk_16444265@iohk.io,https://iohk.io,IOHK 16444302 - relevant experience,"blank,yes,no",public
58,Fund2 challenge,16444303,Test proposal 16444303,To test the proposal process 16444303,We haven't tested proposal integration yet 16444303,Test the proposal integration process 16444303,https://iohk.submittable.com/submissions/16444303,https://iohk.submittable.com/submissions/16444265/file/38,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000303,4.5,IOHK 16444303,iohk_16444265@iohk.io,https://iohk.io,IOHK 16444303 - relevant experience,"blank,yes,no",public
